epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
80,267.795,0.03514,1,1,0.00124,9.08643e-05,9.08643e-05,9.08643e-05
81,270.851,0.0386,1,1,0.00093,8.6736e-05,8.6736e-05,8.6736e-05
82,274.03,0.05211,1,1,0.00148,8.26077e-05,8.26077e-05,8.26077e-05
83,277.218,0.03417,1,1,0.00119,7.84794e-05,7.84794e-05,7.84794e-05
84,280.389,0.04273,1,1,0.00128,7.43511e-05,7.43511e-05,7.43511e-05
85,283.497,0.05413,1,1,0.00153,7.02228e-05,7.02228e-05,7.02228e-05
86,286.844,0.02064,1,1,0.00153,6.60945e-05,6.60945e-05,6.60945e-05
87,289.994,0.03895,1,1,0.0012,6.19662e-05,6.19662e-05,6.19662e-05
88,293.075,0.0481,1,1,0.00113,5.78379e-05,5.78379e-05,5.78379e-05
89,296.326,0.04278,1,1,0.00111,5.37096e-05,5.37096e-05,5.37096e-05
90,299.47,0.05955,1,1,0.00109,4.95813e-05,4.95813e-05,4.95813e-05
91,302.574,0.02717,1,1,0.00124,4.5453e-05,4.5453e-05,4.5453e-05
92,305.711,0.05121,1,1,0.001,4.13247e-05,4.13247e-05,4.13247e-05
93,308.956,0.05126,1,1,0.00104,3.71964e-05,3.71964e-05,3.71964e-05
94,312.132,0.03079,1,1,0.00099,3.30681e-05,3.30681e-05,3.30681e-05
95,315.207,0.02701,1,1,0.00105,2.89398e-05,2.89398e-05,2.89398e-05
96,318.335,0.0371,1,1,0.00117,2.48115e-05,2.48115e-05,2.48115e-05
97,321.464,0.04132,1,1,0.00102,2.06832e-05,2.06832e-05,2.06832e-05
98,324.571,0.04484,1,1,0.001,1.65549e-05,1.65549e-05,1.65549e-05
99,327.635,0.0246,1,1,0.00118,1.24266e-05,1.24266e-05,1.24266e-05
100,330.778,0.0356,1,1,0.00104,8.2983e-06,8.2983e-06,8.2983e-06
